Timestamp,Host Name,Status,Average Time
2025-04-19 18:06:41,Cloudflare DNS,Success,11.311
2025-04-19 18:06:41,Google DNS Secondary,Success,13.914
2025-04-19 18:06:31,Uniwersytet Szczecin,Success,21.652
2025-04-19 18:06:04,Cloudflare DNS,Success,13.712
2025-04-19 18:06:04,Google DNS Secondary,Success,13.996
2025-04-19 18:05:54,Uniwersytet Szczecin,Success,23.104
2025-04-19 18:05:51,Google DNS,Success,20.617
2025-04-19 18:05:27,Google DNS Secondary,Success,13.746
2025-04-19 18:05:27,Cloudflare DNS,Success,13.338
2025-04-19 18:05:17,Uniwersytet Szczecin,Success,18.508
2025-04-19 18:04:50,Cloudflare DNS,Success,16.807
2025-04-19 18:04:50,Google DNS Secondary,Success,18.639
2025-04-19 18:04:44,Google DNS,Success,16.033
2025-04-19 18:04:39,Uniwersytet Szczecin,Success,24.452
2025-04-19 18:04:13,Google DNS Secondary,Success,12.409
2025-04-19 18:04:13,Cloudflare DNS,Success,12.841
2025-04-19 18:04:02,Uniwersytet Szczecin,Success,24.827
2025-04-19 18:03:37,Google DNS,Success,14.149
2025-04-19 18:03:36,Cloudflare DNS,Success,12.737
2025-04-19 18:03:36,Google DNS Secondary,Success,13.602
2025-04-19 18:03:25,Uniwersytet Szczecin,Success,23.498
2025-04-19 18:02:59,Google DNS Secondary,Success,15.895
2025-04-19 18:02:59,Cloudflare DNS,Success,15.082
2025-04-19 18:02:48,Uniwersytet Szczecin,Success,72.604
2025-04-19 18:02:30,Google DNS,Success,22.287
2025-04-19 18:01:05,Cloudflare DNS,Success,9806.575
2025-04-19 18:01:04,Google DNS Secondary,Success,96.75
2025-04-19 18:00:54,Uniwersytet Szczecin,Success,27.671
2025-04-19 18:00:28,Cloudflare DNS,Success,16.488
2025-04-19 18:00:27,Google DNS Secondary,Success,20.736
2025-04-19 18:00:17,Uniwersytet Szczecin,Success,25.483
2025-04-19 18:00:06,Google DNS,Success,18.262
2025-04-19 17:59:51,Cloudflare DNS,Success,19.058
2025-04-19 17:59:50,Google DNS Secondary,Success,18.655
2025-04-19 17:59:40,Uniwersytet Szczecin,Success,28.334
